record_id,report_id,report_version,is_latest_report_version,schema_period,automation_category,reporting_entity,report_type,report_submission_date,same_vehicle_id,make,model,model_year,automation_system_engaged,engagement_status,incident_date,incident_year,incident_month,same_incident_id,latitude,longitude,city,state,roadway_type,crash_with,highest_injury_severity_alleged,is_fatal,has_injury,has_hospitalization,vulnerable_road_user_involved,airbag_deployed,vehicle_towed,police_report_available,narrative,source_file
10003-10230-v1,10003-10230,1,true,archive_2021_to_2025,OTHER,"International Motors, LLC",No New or Updated Incident Reports,2025-03-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-1030-v1,10003-1030,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2021-08-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-10478-v1,10003-10478,1,true,archive_2021_to_2025,OTHER,"International Motors, LLC",No New or Updated Incident Reports,2025-04-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-10720-v1,10003-10720,1,true,archive_2021_to_2025,OTHER,"International Motors, LLC",No New or Updated Incident Reports,2025-05-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-11070-v1,10003-11070,1,true,archive_2021_to_2025,OTHER,"International Motors, LLC",No New or Updated Incident Reports,2025-06-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-1264-v1,10003-1264,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2021-09-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-1455-v1,10003-1455,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2021-10-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-1694-v1,10003-1694,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2021-11-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-1883-v1,10003-1883,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2021-12-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-2107-v1,10003-2107,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2022-01-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-2313-v1,10003-2313,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2022-02-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-2529-v1,10003-2529,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2022-03-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-2759-v1,10003-2759,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2022-04-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-2800-v1,10003-2800,1,false,archive_2021_to_2025,ADAS,"Navistar, Inc.",1-Day,2022-04-01,6b21a70177dcc64,International,LT,2022,"Unknown, see Narrative",,2021-11-01,2021,11,d7397a577eefe45,,,Maxatawny Tounship,PA,Street,Pole / Tree,Unknown,false,,false,false,false,false,false,This vehicle is equipped with Lane Keep Assist feature. The posted speed limit the subject vehicle was operating at time of incident is 25 MPH and the Lane Keep Assist feature cannot be activated at speeds below 37 MPH.,archive_SGO-2021-01_Incident_Reports_ADAS.csv
10003-2800-v2,10003-2800,2,false,archive_2021_to_2025,ADAS,"Navistar, Inc.",10-Day Update,2022-04-01,6b21a70177dcc64,International,LT,2022,"Unknown, see Narrative",,2021-11-01,2021,11,d7397a577eefe45,,,Maxatawny Tounship,PA,Street,Other Fixed Object,Unknown,false,,false,false,false,false,false,"This vehicle is equipped with Lane Keep Assist feature. The posted speed limit the subject vehicle was operating at time of incident is 25 MPH and the Lane Keep Assist feature cannot be activated at speeds below 37 MPH. This crash occurred as unit 1 was going North on [XXX] in Maxatawny Township, Berks County. Unit 1 then went off the righthand side of the roadway and struck a house. Unit 1 was towed from the scene. Operator 1 and the homeowner were transported to nearby local hospital to be treated for minor injuries.",archive_SGO-2021-01_Incident_Reports_ADAS.csv
10003-2800-v3,10003-2800,3,false,archive_2021_to_2025,ADAS,"Navistar, Inc.",Update,2022-06-01,6b21a70177dcc64,International,LT,2022,"Unknown, see Narrative",,2021-11-01,2021,11,d7397a577eefe45,,,Maxatawny Tounship,PA,Street,Other Fixed Object,Unknown,false,,false,false,false,false,false,"This vehicle is equipped with Lane Keep Assist feature. The posted speed limit the subject vehicle was operating at time of incident is 25 MPH and the Lane Keep Assist feature cannot be activated at speeds below 37 MPH. This crash occurred as unit 1 was going North on [XXX] ([XXX]) in Maxatawny Township, Berks County. Unit 1 then went off the righthand side of the roadway and struck a house. Unit 1 was towed from the scene. Operator 1 and the homeowner were transported to nearby local hospital to be treated for minor injuries.",archive_SGO-2021-01_Incident_Reports_ADAS.csv
10003-2800-v4,10003-2800,4,true,archive_2021_to_2025,ADAS,"Navistar, Inc.",Update,2022-08-01,6b21a70177dcc64,International,LT,2022,"Unknown, see Narrative",,2021-11-01,2021,11,d7397a577eefe45,,,Maxatawny Tounship,PA,Street,Other Fixed Object,Unknown,false,,false,false,false,false,false,"This vehicle is equipped with Lane Keep Assist feature. This crash occurred as unit 1 was going North on [XXX] ([XXX]) in Maxatawny Township, Berks County. Unit 1 then went off the righthand side of the roadway and struck a house. Unit 1 was towed from the scene. Operator 1 and the homeowner were transported to nearby local hospital to be treated for minor injuries.",archive_SGO-2021-01_Incident_Reports_ADAS.csv
10003-2932-v1,10003-2932,1,true,archive_2021_to_2025,ADS,"Navistar, Inc.",Monthly,2022-05-01,6b21a70177dcc64,International,LT,2022,"Unknown, see Narrative",,2021-11-01,2021,11,d7397a577eefe45,,,Maxatawny Township,PA,Street,Other Fixed Object,Unknown,false,,false,false,false,false,false,"This vehicle is equipped with Lane Keep Assist feature. The posted speed limit the subject vehicle was operating at time of incident is 25 MPH and the Lane Keep Assist Feature cannot be activated at speeds below 37 MPH. This crash occurred as unit 1 was going North on [XXX] in Maxatawny Township, Berks County. Unit 1 then went off the right side of the roadway and struck a house. Unit 1 was towed from the scene. Operator 1 and homeowner were transported to nearby local hospital to be treated for minor injuries.",archive_SGO-2021-01_Incident_Reports_ADS.csv
10003-3210-v1,10003-3210,1,true,archive_2021_to_2025,ADS,"Navistar, Inc.",Monthly,2022-06-01,19fed228241ac11,International,LT625,2021,"Unknown, see Narrative",,2022-04-01,2022,4,59d489f93e681d4,,,Tucson,AZ,Highway / Freeway,Other Fixed Object,No Injuries Reported,false,false,false,false,false,false,false,"All of the data in this report and the following text is an excerpt from TuSimples original submission (30370-2949-1) and constitutes Navistars sole understanding of this event.
TuSimple's position is that this event does not meet the criteria for reporting under the SGO.
Specifically, the L4 ADS was not in operation at any point in the 30 seconds prior to making contact with the concrete barrier.
The event occurred as follows:
As the truck was being operated on the highway, within its mapped ODD, the driver and test engineer attempted to engage the ADS.
However, the ADS was not functional at that moment due to the computer unit not having been initialized, and should not have been
attempted to be activated. In short, this was a failed attempt to engage the system as a result of human error.
The system has now been modified to prevent the ADS from attempting to engage unless the health of the system is fully functional to
prevent human error from repeating this event.
When the erroneous attempt to engage occurred, the uninitialized vehicle control unit rotated the steering to the left, causing the truck to
veer left. The safety driver took control of the steering, and was able to steer accordingly, but not before the left front truck tire and left
front quarter panel came into contact with the concrete barrier to the left of the lanes of travel.",archive_SGO-2021-01_Incident_Reports_ADS.csv
10003-3854-v1,10003-3854,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2022-09-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-3856-v1,10003-3856,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2022-09-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-3857-v1,10003-3857,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2022-09-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-4035-v1,10003-4035,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2022-10-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-4179-v1,10003-4179,1,true,archive_2021_to_2025,ADAS,"Navistar, Inc.",1-Day,2022-11-01,2edb735ade65325,International,LT,2022,ADAS,,2022-10-01,2022,10,a85241c65b196c7,,,N/A,MD,Highway / Freeway,Passenger Car,Unknown,false,,false,false,false,false,true,"At this time, the status of the LKA system during this event is unknown. Vehicles 1 and 2 were Southbound on [XXX] at the [XXX]. V1 (Lexus) was in lane 2 (Middle Lane) and V2 (truck) was in lane 3 (Right lane). V1 began drifting into lane 3 subsequently striking the left front of V2. Both vehicles then lost control and exited the roadway. V2 then overturned on the sight side embankment. Operator of V1 was issued citation.",archive_SGO-2021-01_Incident_Reports_ADAS.csv
10003-4270-v1,10003-4270,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2022-11-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-4487-v1,10003-4487,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2022-12-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-4666-v1,10003-4666,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2023-01-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-4894-v1,10003-4894,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2023-02-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-5078-v1,10003-5078,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2023-03-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-5278-v1,10003-5278,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2023-04-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-5547-v1,10003-5547,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2023-05-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-5781-v1,10003-5781,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2023-06-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-5913-v1,10003-5913,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2023-07-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-6050-v1,10003-6050,1,false,archive_2021_to_2025,ADAS,"Navistar, Inc.",5-Day,2023-08-01,b118d2fffb95a30,International,LT625,2022,"Unknown, see Narrative",,2022-12-01,2022,12,107615b2f60ddf7,,,Natural Bridge,VA,Highway / Freeway,Other Fixed Object,No Injuries Reported,false,false,false,false,false,false,true,"This vehicle is equipped with Lane Keep Assist (LKA) feature. At this time, the status of the LKA system during this event is unknown. Vehicle 1 (V1) was Northbound on [XXX] in Rockbridge County near Natural Bridge, Virginia. As stated in the police report, V1 ran off road left, struck the guardrail, went over embankment, and struck several trees. V1 was towed from the scene and operator of V1 was issued a citation. The road at the crash location curves to the right. Available EDR data indicates no significant changes in speed or direction in the 7 seconds prior to the incident.",archive_SGO-2021-01_Incident_Reports_ADAS.csv
10003-6050-v2,10003-6050,2,true,archive_2021_to_2025,ADAS,"Navistar, Inc.",Update,2024-08-01,b118d2fffb95a30,International,LT625,2022,"Unknown, see Narrative",,2022-12-01,2022,12,107615b2f60ddf7,,,Natural Bridge,VA,Highway / Freeway,Other Fixed Object,No Injuries Reported,false,false,false,false,false,false,true,"This vehicle is equipped with Lane Keep Assist (LKA) feature. At this time, the status of the LKA system during this event is unknown. Vehicle 1 (V1) was Northbound on [XXX] in [XXX] County near Natural Bridge, Virginia. As stated in the police report, V1 ran off road left, struck the guardrail, went over embankment, and struck several trees. V1 was towed from the scene and operator of V1 was issued a citation. The road at the crash location curves to the right. Available EDR data indicates no significant changes in speed or direction in the 7 seconds prior to the incident.",archive_SGO-2021-01_Incident_Reports_ADAS.csv
10003-6117-v1,10003-6117,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2023-08-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-6357-v1,10003-6357,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2023-09-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-6469-v1,10003-6469,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2023-10-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-6678-v1,10003-6678,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2023-11-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-6822-v1,10003-6822,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2023-12-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
10003-6968-v1,10003-6968,1,true,archive_2021_to_2025,OTHER,"Navistar, Inc.",No New or Updated Incident Reports,2024-01-01,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,,archive_SGO-2021-01_Incident_Reports_OTHER.csv
