"record_id";"report_id";"report_version";"is_latest_report_version";"schema_period";"automation_category";"reporting_entity";"report_type";"report_submission_date";"same_vehicle_id";"make";"model";"model_year";"automation_system_engaged";"engagement_status";"incident_date";"incident_year";"incident_month";"same_incident_id";"latitude";"longitude";"city";"state";"roadway_type";"crash_with";"highest_injury_severity_alleged";"is_fatal";"has_injury";"has_hospitalization";"vulnerable_road_user_involved";"airbag_deployed";"vehicle_towed";"police_report_available";"narrative";"source_file"
"10003-2800-v4";"10003-2800";4;"true";"archive_2021_to_2025";"ADAS";"Navistar, Inc.";"Update";"2022-08-01";"6b21a70177dcc64";"International";"LT";"2022";"Unknown, see Narrative";"";"2021-11-01";"2021";"11";"d7397a577eefe45";"";"";"Maxatawny Tounship";"PA";"Street";"Other Fixed Object";"Unknown";"false";"";"false";"false";"false";"false";"false";"This vehicle is equipped with Lane Keep Assist feature. This crash occurred as unit 1 was going North on [XXX] ([XXX]) in Maxatawny Township, Berks County. Unit 1 then went off the righthand side of the roadway and struck a house. Unit 1 was towed from the scene. Operator 1 and the homeowner were transported to nearby local hospital to be treated for minor injuries.";"archive_SGO-2021-01_Incident_Reports_ADAS.csv"
"10003-2932-v1";"10003-2932";1;"true";"archive_2021_to_2025";"ADS";"Navistar, Inc.";"Monthly";"2022-05-01";"6b21a70177dcc64";"International";"LT";"2022";"Unknown, see Narrative";"";"2021-11-01";"2021";"11";"d7397a577eefe45";"";"";"Maxatawny Township";"PA";"Street";"Other Fixed Object";"Unknown";"false";"";"false";"false";"false";"false";"false";"This vehicle is equipped with Lane Keep Assist feature. The posted speed limit the subject vehicle was operating at time of incident is 25 MPH and the Lane Keep Assist Feature cannot be activated at speeds below 37 MPH. This crash occurred as unit 1 was going North on [XXX] in Maxatawny Township, Berks County. Unit 1 then went off the right side of the roadway and struck a house. Unit 1 was towed from the scene. Operator 1 and homeowner were transported to nearby local hospital to be treated for minor injuries.";"archive_SGO-2021-01_Incident_Reports_ADS.csv"
"10003-3210-v1";"10003-3210";1;"true";"archive_2021_to_2025";"ADS";"Navistar, Inc.";"Monthly";"2022-06-01";"19fed228241ac11";"International";"LT625";"2021";"Unknown, see Narrative";"";"2022-04-01";"2022";"4";"59d489f93e681d4";"";"";"Tucson";"AZ";"Highway / Freeway";"Other Fixed Object";"No Injuries Reported";"false";"false";"false";"false";"false";"false";"false";"All of the data in this report and the following text is an excerpt from TuSimples original submission (30370-2949-1) and constitutes Navistars sole understanding of this event.
TuSimple's position is that this event does not meet the criteria for reporting under the SGO.
Specifically, the L4 ADS was not in operation at any point in the 30 seconds prior to making contact with the concrete barrier.
The event occurred as follows:
As the truck was being operated on the highway, within its mapped ODD, the driver and test engineer attempted to engage the ADS.
However, the ADS was not functional at that moment due to the computer unit not having been initialized, and should not have been
attempted to be activated. In short, this was a failed attempt to engage the system as a result of human error.
The system has now been modified to prevent the ADS from attempting to engage unless the health of the system is fully functional to
prevent human error from repeating this event.
When the erroneous attempt to engage occurred, the uninitialized vehicle control unit rotated the steering to the left, causing the truck to
veer left. The safety driver took control of the steering, and was able to steer accordingly, but not before the left front truck tire and left
front quarter panel came into contact with the concrete barrier to the left of the lanes of travel.";"archive_SGO-2021-01_Incident_Reports_ADS.csv"
"10003-4179-v1";"10003-4179";1;"true";"archive_2021_to_2025";"ADAS";"Navistar, Inc.";"1-Day";"2022-11-01";"2edb735ade65325";"International";"LT";"2022";"ADAS";"";"2022-10-01";"2022";"10";"a85241c65b196c7";"";"";"N/A";"MD";"Highway / Freeway";"Passenger Car";"Unknown";"false";"";"false";"false";"false";"false";"true";"At this time, the status of the LKA system during this event is unknown. Vehicles 1 and 2 were Southbound on [XXX] at the [XXX]. V1 (Lexus) was in lane 2 (Middle Lane) and V2 (truck) was in lane 3 (Right lane). V1 began drifting into lane 3 subsequently striking the left front of V2. Both vehicles then lost control and exited the roadway. V2 then overturned on the sight side embankment. Operator of V1 was issued citation.";"archive_SGO-2021-01_Incident_Reports_ADAS.csv"
"10003-6050-v2";"10003-6050";2;"true";"archive_2021_to_2025";"ADAS";"Navistar, Inc.";"Update";"2024-08-01";"b118d2fffb95a30";"International";"LT625";"2022";"Unknown, see Narrative";"";"2022-12-01";"2022";"12";"107615b2f60ddf7";"";"";"Natural Bridge";"VA";"Highway / Freeway";"Other Fixed Object";"No Injuries Reported";"false";"false";"false";"false";"false";"false";"true";"This vehicle is equipped with Lane Keep Assist (LKA) feature. At this time, the status of the LKA system during this event is unknown. Vehicle 1 (V1) was Northbound on [XXX] in [XXX] County near Natural Bridge, Virginia. As stated in the police report, V1 ran off road left, struck the guardrail, went over embankment, and struck several trees. V1 was towed from the scene and operator of V1 was issued a citation. The road at the crash location curves to the right. Available EDR data indicates no significant changes in speed or direction in the 7 seconds prior to the incident.";"archive_SGO-2021-01_Incident_Reports_ADAS.csv"
"10039-10291-v3";"10039-10291";3;"true";"archive_2021_to_2025";"ADAS";"BMW of North America, LLC";"Update";"2025-04-01";"b9b971d94a0ba4e";"BMW";"i5 xDrive40";"";"ADAS";"";"2025-03-01";"2025";"3";"80af11971012830";"";"";"Washington";"NJ";"Highway / Freeway";"Other Fixed Object";"Minor";"false";"false";"false";"false";"false";"false";"false";"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]";"archive_SGO-2021-01_Incident_Reports_ADAS.csv"
"10039-10316-v4";"10039-10316";4;"true";"archive_2021_to_2025";"ADAS";"BMW of North America, LLC";"Update";"2025-05-01";"a5816bcbe3d02fd";"BMW";"XM";"2023";"ADAS";"";"2025-03-01";"2025";"3";"4b7b5c197df23b5";"";"";"Benton County";"AR";"Highway / Freeway";"First Responder Vehicle";"Minor";"false";"false";"false";"false";"false";"false";"false";"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]";"archive_SGO-2021-01_Incident_Reports_ADAS.csv"
"10039-11989-v5";"10039-11989";5;"true";"third_amendment_2025_plus";"ADAS";"BMW of North America, LLC";"Update";"2026-02-01";"6db33c569cf4c36";"BMW";"X5";"2025";"ADAS";"Verified Engaged";"2025-10-01";"2025";"10";"cdfe07af14c61c9";"";"";"Summit-Argo";"IL";"Highway / Freeway";"Other, see Narrative";"No Injured Reported";"false";"false";"false";"false";"true";"false";"true";"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]";"SGO-2021-01_Incident_Reports_ADAS.csv"
"10039-13203-v4";"10039-13203";4;"true";"third_amendment_2025_plus";"ADAS";"BMW of North America, LLC";"Update";"2026-02-01";"7eec1752edce137";"BMW";"X3";"2025";"ADAS";"Verified Engaged";"2025-11-01";"2025";"11";"62bf650416b01c3";"";"";"";"UNK";"Highway / Freeway";"Pole / Tree";"No Injured Reported";"false";"false";"false";"false";"true";"false";"false";"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]";"SGO-2021-01_Incident_Reports_ADAS.csv"
"10039-13214-v1";"10039-13214";1;"true";"third_amendment_2025_plus";"ADAS";"BMW of North America, LLC";"5-Day";"2025-11-01";"53943a538591e8e";"BMW";"M5";"2026";"ADAS";"Verified Engaged";"2025-10-01";"2025";"10";"1ab2b4790cb2329";"";"";"Teaneck";"NJ";"Highway / Freeway";"Other Fixed Object";"Minor W/O Hospitalization";"false";"true";"true";"false";"true";"false";"true";"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]";"SGO-2021-01_Incident_Reports_ADAS.csv"
